day,2012,2013,2014,2015,2016,2017,2018,2019,2020
158,0.73543,0.16,0.15712,0.19131,0.207,0.247,0.326,0.556,0.24415
159,0.33222,0.123,0.18163,0.17523,0.1911,0.186,0.288,0.5,0.22623
160,0.26196,0.616,0.633,0.168,0.19651,0.708,0.273,2.601,0.21741
161,0.21295,0.226,0.31338,0.19815,0.19862,0.251,0.281,0.952,0.19277
162,0.1967,0.203,0.25931,0.19409,0.22734,0.185,0.288,0.65,0.18129
163,0.1679,0.19,0.2545,0.20138,1.14619,0.152,0.334,0.586,0.16673
164,0.52726,0.173,0.29702,0.3375,0.73591,0.137,0.318,0.504,0.17547
165,0.31698,0.177,0.26822,0.31988,0.41199,0.115,0.356,0.47,0.18145
166,0.30251,0.24,0.261,0.35318,0.35375,0.099,0.37,0.467,0.1727
167,0.23751,0.246,0.27091,0.48967,0.31222,0.076,0.399,3.236,0.17329
168,0.21759,0.824,0.26814,1.33961,0.28604,0.062,0.383,1.19,0.15473
169,0.27729,0.468,0.24316,0.52164,0.27175,0.049,0.454,0.78,0.12694
170,0.21684,0.334,0.23168,0.37435,0.27266,0.089,0.48,1.016,0.43347
171,0.20565,0.276,0.23505,0.32551,0.26956,0.066,0.553,0.621,1.44436
172,0.19606,0.241,0.2375,0.365,0.27583,0.064,0.504,0.471,0.55001
173,0.18434,0.209,0.69353,0.32631,0.2578,0.077,0.424,0.604,0.926
174,0.20386,0.19,0.893,0.272,0.2276,0.094,0.368,0.804,1.47727
175,0.19952,0.169,0.47218,0.29772,0.24217,0.763,0.369,0.757,0.56218
176,0.19475,0.172,0.76763,0.30086,0.27579,0.227,0.339,0.271,0.45374
177,0.21105,0.144,0.54196,1.09342,0.23141,0.319,0.28,0.186,0.41704
178,0.18981,0.13,0.38336,0.85649,0.3101,0.559,0.232,0.141,0.37995
179,0.18463,0.141,0.33497,0.43845,0.24694,0.348,0.224,0.099,0.54927
180,0.18305,0.128,0.26399,0.38995,0.19164,0.266,0.226,0.111,0.5104
181,0.19828,0.133,0.21832,0.80117,0.18459,0.245,0.172,0.172,0.34778
182,0.25977,0.12,0.19264,0.57524,0.15502,0.73,0.151,0.162,0.33671
183,0.21768,0.117,0.18266,0.38552,0.14761,0.342,0.135,0.196,0.32983
184,0.23336,0.102,0.92738,0.31828,0.14336,0.306,0.129,0.139,0.31556
185,0.2376,0.114,0.33425,0.32252,0.55179,0.848,0.129,0.149,0.30447
186,0.22213,0.11,0.23851,0.31378,0.608,0.544,0.109,0.144,0.77222
187,0.18363,0.085,0.20468,0.29262,0.18062,0.579,0.139,0.12,0.94235
188,0.18245,0.089,0.15336,0.282,0.16166,0.648,0.166,0.102,0.44955
189,0.19758,0.064,0.14859,0.59018,0.13542,0.383,0.119,0.092,0.32402
190,0.18669,0.075,0.109,0.46462,0.21955,0.303,0.434,0.12,0.28862
191,0.21869,0.076,0.10671,0.36617,0.28959,0.302,0.367,0.124,0.2775
192,0.44001,0.236,0.1155,0.32438,0.15496,0.26,0.277,0.139,0.27507
193,0.30039,0.229,0.1501,0.31273,0.12898,0.266,1.195,0.148,0.28345
194,0.28016,0.175,0.16504,0.25688,0.11808,0.276,0.779,0.167,0.23352
195,0.29049,0.227,0.24944,0.25736,0.09753,0.281,0.448,0.174,0.23267
196,0.3383,0.465,0.26192,0.26862,0.386,0.349,0.455,0.183,0.20408
197,0.36429,0.371,0.17578,0.24919,0.17055,0.324,0.449,0.197,0.20768
198,0.28619,0.562,1.1936,0.19985,0.13717,0.302,0.508,0.304,0.20602
199,0.2442,0.229,0.52079,0.17721,0.12351,0.287,0.623,0.287,0.22448
200,0.20985,0.246,0.3087,0.15709,0.13968,0.263,0.697,0.275,0.2588
201,0.19789,0.27,0.25197,0.132,0.12481,0.248,0.767,0.231,0.22874
202,0.20172,0.183,0.23334,0.1688,0.1381,0.205,0.868,0.227,0.26103
203,0.19225,0.138,0.189,0.27321,0.14735,0.197,1.127,0.259,0.22507
204,0.18456,0.09,0.20386,0.22224,0.14758,0.197,1.35,0.266,0.19093
205,0.17136,0.112,0.34798,0.22106,0.14341,0.425,1.132,0.245,0.1853
206,0.17037,0.144,0.18657,0.21885,0.18809,0.235,0.899,0.225,0.18018
207,0.16749,0.356,0.17011,0.22552,0.21594,0.212,0.972,0.227,0.20836
208,0.1696,0.441,0.15136,0.21374,0.54205,0.217,0.788,0.224,0.21898
209,0.18329,0.421,0.13427,0.21182,0.30718,0.214,0.722,0.194,0.42195
210,0.17414,0.453,0.10804,0.22425,0.34576,0.201,0.73,0.2,0.54638
211,0.18239,0.474,0.18137,0.20284,0.1575,0.232,1.1,0.191,0.39422
212,0.15913,0.495,0.64949,0.16694,0.11301,0.221,0.919,0.207,0.7287
213,0.16524,0.621,0.16801,0.15275,0.08454,0.204,0.687,0.2,0.37699
214,0.17766,0.735,0.11658,0.14604,0.05857,0.254,0.629,0.181,0.29666
215,0.17053,1.143,0.07685,0.13651,0.06253,0.243,0.665,0.503,0.26198
216,0.19058,1.31,0.0488,0.128,0.07693,0.385,0.684,0.853,0.25057
217,0.20871,1.493,0.24794,0.13778,0.07435,0.372,0.662,0.298,0.23686
218,0.18223,1.84,0.2575,0.14583,0.06687,0.224,0.646,0.252,0.22968
219,0.18457,2.35,0.15524,0.16565,0.06654,0.306,0.526,0.242,0.21046
220,0.50434,1.642,0.15907,0.16801,0.07786,0.274,0.554,0.234,0.19213
221,0.21451,1.536,0.21488,0.15241,0.07215,0.25,1.592,0.219,0.17852
222,0.19268,1.701,0.30073,0.14838,0.06552,0.272,3.554,0.194,0.18867
223,0.18599,1.12,0.3229,0.13801,0.07068,0.296,3.934,0.21,0.19209
224,0.19378,0.799,0.36253,0.12019,0.09509,1.011,3.238,0.191,0.1768
225,0.18763,2.22,0.3559,0.11529,0.09053,1.761,3.146,0.186,0.16689
226,0.20652,1.188,0.42827,0.10292,0.06612,2.54,2.823,0.557,0.1568
227,1.91996,0.63,0.60051,0.11669,0.06276,0.671,1.362,0.393,0.14081
228,0.50465,0.58,2.56561,0.11134,0.0582,0.535,1.072,0.247,1.14375
229,0.45293,0.415,6.47362,0.10473,0.17037,1.467,0.986,0.187,0.8493
230,1.5566,0.306,2.84,0.0872,0.15749,0.719,5.682,0.156,0.34865
231,0.68531,0.209,1.80531,0.1118,0.60653,0.502,3.388,0.106,0.27741
